number,title,body,labels,component
49129,[R] Compilation fails when Parquet support is disabled,"### Describe the bug, including details regarding any error messages, version, and platform.

When building the R bindings with Parquet support disabled (`ARROW_R_WITH_PARQUET` not defined), compilation fails with errors about undeclared 'parquet' identifiers in arrowExports.cpp.

The issue occurs because Parquet-related code in dataset.cpp and arrowExports.cpp lacks proper preprocessor guards. Specifically:

1. In arrowExports.cpp (line ~1871), the function declaration for `dataset___ParquetFileWriteOptions__update` uses `parquet::WriterProperties` and `parquet::ArrowWriterProperties` types without checking if `ARROW_R_WITH_PARQUET` is defined.

2. In dataset.cpp, Parquet-related includes and function implementations are not guarded by `ARROW_R_WITH_PARQUET` checks.

Compilation error:

```
arrowExports.cpp:1871:131: error: use of undeclared identifier 'parquet'
```

Version: 23.0.0
Platform: Linux

### Component(s)

R",<chr>,R
47801,[Python][CI] Remove use of CMAKE_POLICY_VERSION_MINIMUM on musllinux,"### Describe the enhancement requested

When adding support for Python 3.14 the musllinux wheels started failing due to

```
  #14 16.69 CMake Error at /opt/vcpkg/buildtrees/_vcpkg/build/_deps/cmakerc-src/CMakeRC.cmake:37 (cmake_minimum_required):
  #14 16.69   Compatibility with CMake < 3.5 has been removed from CMake.
  #14 16.69 
  #14 16.69   Update the VERSION argument <min> value.  Or, use the <min>...<max> syntax
  #14 16.69   to tell CMake that the project requires at least <min> but has been updated
  #14 16.69   to work with policies introduced by <max> or earlier.
  #14 16.69 
  #14 16.69   Or, add -DCMAKE_POLICY_VERSION_MINIMUM=3.5 to try configuring anyway.
```

see: https://github.com/apache/arrow/pull/47616#step:7:329

Specifying `CMAKE_POLICY_VERSION_MINIMUM` helped, as per https://github.com/apache/arrow/pull/47616#issuecomment-3387347510. In the future it would be better if we can remove the use of it, see https://github.com/apache/arrow/pull/47616#discussion_r2426139055.

### Component(s)

Continuous Integration, Python",<chr>,Python
49222,[Python] data loss converting to Table from pandas Timedelta built using `replace`,"### Describe the bug, including details regarding any error messages, version, and platform.

When I try to create a `Table` containing a pandas `Timedelta` that was built using `Timestamp.replace`, the data is lost and reset to 0.

For example:
```python
import pandas as pd
import pyarrow as pa

now = pd.Timestamp(""2022-03-03 10:00:00"", tz='America/New_York')
start_of_day = now.replace(hour=0, minute=0, second=0, microsecond=0, nanosecond=0)
data = {'delta': [now - start_of_day]}
data2 = pa.Table.from_pydict(data)
print(f""data: {data['delta'][0]}"")
print(f""data2: {data2['delta'][0]}"")
```

Output:
```
data: 0 days 10:00:00
data2: 0:00:00
```

The `data2` line should show 10 hours, not 0 hours.

This only happens if the delta was built using a `Timestamp` that was created using `replace` on another `Timestamp`.

Python 3.13.3
pyarrow 23.0.0
Linux x86_64

### Component(s)

Python",<chr>,Python
48265,[Python][GPU] Numba interop tests broken by Numba API changes,"### Describe the bug, including details regarding any error messages, version, and platform.

On https://github.com/apache/arrow/pull/48259 I got the following failure:
```
___________________ test_numba_memalloc[float32-numba.cuda] ____________________

c = 1, dtype = dtype('float32')

    @pytest.mark.parametrize(""c"", range(len(context_choice_ids)),
                             ids=context_choice_ids)
    @pytest.mark.parametrize(""dtype"", dtypes, ids=dtypes)
    def test_numba_memalloc(c, dtype):
        ctx, nb_ctx = context_choices[c]
        dtype = np.dtype(dtype)
        # Allocate memory using numba context
        # Warning: this will not be reflected in pyarrow context manager
        # (e.g bytes_allocated does not change)
        size = 10
        mem = nb_ctx.memalloc(size * dtype.itemsize)
        darr = DeviceNDArray((size,), (dtype.itemsize,), dtype, gpu_data=mem)
        darr[:5] = 99
        darr[5:] = 88
        np.testing.assert_equal(darr.copy_to_host()[:5], 99)
        np.testing.assert_equal(darr.copy_to_host()[5:], 88)
    
        # wrap numba allocated memory with CudaBuffer
>       cbuf = cuda.CudaBuffer.from_numba(mem)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

arrow-dev/lib/python3.12/site-packages/pyarrow/tests/test_cuda_numba_interop.py:178: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
pyarrow/_cuda.pyx:453: in pyarrow._cuda.CudaBuffer.from_numba
    ???
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <numba.cuda.cudadrv.driver.OwnedPointer object at 0x7f8ef0de85b0>
fname = 'context'

    def __getattr__(self, fname):
        """"""Proxy MemoryPointer methods""""""
>       return getattr(self._view, fname)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
E       AttributeError: 'AutoFreePointer' object has no attribute 'context'

arrow-dev/lib/python3.12/site-packages/numba_cuda/numba/cuda/cudadrv/driver.py:2022: AttributeError
```


### Component(s)

Python, GPU",<chr>,Python
43336,[R] stringr binding for `str_starts` fails based on syntax,"### Describe the bug, including details regarding any error messages, version, and platform.

Hi Arrow Devs.

I noticed an odd behavior for `str_starts()` for the package.

So if you make an `arrow` table:

```
df <- data.frame(
  Participant = c('Greg', 'Greg', 'Donna', 'Donna'),
  Category = c('F0', 'C0.1', '1', '01'),
  Rating = c(21, NA, 17, 21)) |> as_arrow_table()
```

|Participant | Category | Rating|
|--- | --- | ---|
|Greg | F0 | 21|
|Greg | C0.0 | NA|
|Donna | 1 | 17|
|Donna | 01 | 21|

And want to filter the output to entries that start with several specific strings like so

`filterlist <- c(""F"", ""C"", ""1"")`

|Participant | Category | Rating|
|--- | --- | ---|
|Greg | F0 | 21|
|Greg | C0.0 | NA|
|Donna | 1 | 17|

If I run a call like this one, it either fails or pulls it into `R`:

```
df |>
  filter(str_starts(Category, paste(filterlist, collapse = ""|"")))
Warning: Expression str_starts(Category, paste(filterlist, collapse = ""|"")) not supported in Arrow; pulling data into R
```

But these two will run just fine and produce the desired output:

```
df |>
  filter(str_starts(Category, ""F|C|1""))

df |>
  filter(str_starts(Category, filtervar))
```

Is this a bug of some kind?

### Component(s)

R",<chr>,R
48349,[Python] Support array indices in pc.list_element,"### Describe the enhancement requested

# Description:
pc.list_element(array, index) only accepts scalar integer indices. This prevents efficient vectorized operations. For example, to get the last element from each list:

```python
import pyarrow as pa
import pyarrow.compute as pc
arr = pa.array([[1, 2, 3], [4, 5], [6, 7, 8, 9]])
```
# Desired but not supported:
```python
indices = pa.array([2, 1, 3])  # or [-1, -1, -1]
result = pc.list_element(arr, indices)  # Should return [3, 5, 9]
```
# Use Case:
pandas needs this for efficient .list[-1] operations with pyarrow-backed arrays. Currently, pandas must use slow Python loops as a workaround.

# Proposed Solution:
Extend pc.list_element to accept array indices (like other compute functions do). This would enable vectorized element access from lists.

# Related Issues:

pandas issue: (#63221)

### Component(s)

Python",<chr>,Python
44306,[R] please write unregister_scalar_function and/or make registration local/temporary,"### Describe the enhancement requested

The current mechanism for `register_scalar_function` is solely by side-effect, and keeping them around in the global environment can affect other uses of lazy operations.

I suspect that its ""global"" side-effect use is fine for most, since a lazy object can be realized/collected at any point, and the registered function must exist when collected. I suggest that this risk can be mitigated with the assumption that de-registration must be after collection.

This might be as simple as what I hope would happen with the following, without the error:

```r
register_scalar_function(""arrow_dirname"", function(context, z) dirname(z), in_type=string(), out_type=string())

environment(register_scalar_function)$.cache$functions$arrow_dirname
# function (...) 
# Expression$create(""arrow_dirname"", ...)
# <environment: namespace:arrow>

environment(register_scalar_function)$.cache$functions$arrow_dirname <- NULL
# Error in loadNamespace(x) : there is no package called ‘*tmp*’
```


### Component(s)

R",<chr>,R
47698,"pc.subtract_checked(x, x) with x as pa.array((1, 2, 3, 4, 5), type=pa.decimal128(38, 19)) raises ""Decimal precision out of range""","### Describe the bug, including details regarding any error messages, version, and platform.

### Code
```python
import pyarrow as pa
import pyarrow.compute as pc

x = pa.array((1, 2, 3, 4, 5), type=pa.decimal128(38, 19))
print(
    pc.subtract_checked(x, x)
)  # ArrowInvalid: Decimal precision out of range [1, 38]: 39
```

### Component(s)

Python

### Environment

python == 3.13.7
pyarrow == 21.0.0
os == ""Ubuntu 24.04.3 LTS""
cpu == ""AMD Ryzen™ 5 5600H with Radeon™ Graphics × 12""",<chr>,Python
48832,[R] arrow::write_parquet error with zero-length datetimes in R 4.5.2,"### Description
Using R 4.5.2 there is an error using `arrow::write_parquet` with zero-length datetimes:
`Error: Invalid: Invalid conversion to timestamp`

I believe this may be caused by the following change in the [release note](https://cran.r-project.org/doc/manuals/r-patched/[NEWS.2.pdf](https://cran.r-project.org/doc/manuals/r-patched/NEWS.2.pdf)) for R 4.5.2 (patched):

>  `str(x, give.attr=FALSE)` no longer shows attributes when `x` is a zero length ""Date"" or ""POSIXt"" object.

I can't be sure if the error was present before the patched release of 4.5.2 on 5 Jan 2026.

### Reprex

```
dplyr::tibble(
    timeStamp = as.POSIXct(x = NULL), # works ok with this line commented out
    otherColumn = character()
  ) |>
  arrow::write_parquet(
    sink = tempfile(fileext = "".parquet"")
  )
```

### Component(s)

R",<chr>,R
45314,[R] arrow R package: multiple replacement disclaimers for str_replace_all,"### Describe the enhancement requested

While PR https://github.com/apache/arrow/pull/39219 introduced an error message when the user passes pattern/replacement vectors with more than one element to `arrow_r_string_replace_function`, I'd like to suggest two enhancements. 

* First and most fundamental: add a caveat on [this page](https://arrow.apache.org/docs/r/reference/acero.html#stringr), which, by the way, I use almost every day. On `r/R/dplyr-funcs-doc.R`: 
```
#' * [`str_replace_all()`][stringr::str_replace_all()] Multiple replacements not yet supported,
#' `pattern`/`replacement` must be a length 1 character vector
```

* Second: make the `validation_error()` more explicit on what's happening. On `r/R/dplyr-funcs-string.R`:
```
if (length(pattern) != 1) {
        validation_error(paste(""Multiple replacements not supported,"",
                               ""`pattern` must be a length 1 character vector""))
      }
      if (length(replacement) != 1) {
        validation_error(paste(""Multiple replacements not supported,"",
                               ""`replacement` must be a length 1 character vector""))
      }
```

I'm about to submit a PR. But first, I would like to confirm some minor things: (1) does the test file update automatically when I run `devtools::test()`? (I can't test my changes right now), (2) is there any other test or change I should make before submitting the PR?, (3) on `r/R/dplyr-funcs-doc.R` I wrote ""not supported yet"". Will this feature be implemented in the future or should I change it to ""not supported""?

### Component(s)

R",<chr>,R
